τοκέες τʼ ἄλοχοί θʼ ἡμερολεγδὸν	uu- uu- -uu--	anapaestic	
τείνοντα χρόνον τρομέονται.	--u u- uu--	lyric	
πεπέρακεν μὲν ὁ περσέπτολις ἤδη	uu-- u u --uu --	lyric	
βασίλειος στρατὸς εἰς ἀν-	uu-- uu - -	lyric	
τίπορον γείτονα χώραν,	uu- -uu --	lyric	
λινοδέσμῳ σχεδίᾳ πορθ-	uu-- uu- -	lyric	
μὸν ἀμείψας	u u--	lyric	
Ἀθαμαντίδος Ἕλλας,	uu-uu --	lyric	
πολύγομφον ὅδισμα	uu-u u--	lyric	
ζυγὸν ἀμφιβαλὼν αὐχένι πόντου.	uu -uu- -uu --	anapaestic	
πολυάνδρου δʼ Ἀσίας θούριος ἄρχων	uu-- uu- -uu --	lyric	
ἐπὶ πᾶσαν χθόνα ποιμα-	uu -- uu --	lyric	
νόριον θεῖον ἐλαύνει	uu- -u u--	lyric	
διχόθεν, πεζονόμον τʼ ἔκ	uu- -uu- -	lyric	
τε θαλάσσας,	u u--	lyric	
ἐχυροῖσι πεποιθὼς	uu-u u--	lyric	
στυφελοῖς ἐφέταις, χρυ-	uu- uu- -	lyric	
σογόνου γενεᾶς ἰσόθεος φώς.	uu- uu- -uu- -	anapaestic	
κυάνεον δʼ ὄμμασι λεύσσων	uu- -uu --	lyric	
φονίου δέργμα δράκοντος,	uu- -u u--	lyric	
πολύχειρ καὶ πολυναύτας,	uu- - uu--	lyric	
Σύριόν θʼ ἅρμα διώκων,	uu- -u u--	lyric	
ἐπάγει δουρικλύτοις ἀν-	uu- -uu- -	lyric	
δράσι τοξόδαμνον Ἄρη.	uu -u-u --	lyric	
δόκιμος δʼ οὔτις ὑποστὰς	uu- -u u--	lyric	
μεγάλῳ ῥεύματι φωτῶν	uu- -uu --	lyric	
ἐχυροῖς ἕρκεσιν εἴργειν	uu- -uu --	lyric	
ἄμαχον κῦμα θαλάσσας·	uu- -u u--	lyric	
ἀπρόσοιστος γὰρ ὁ Περσᾶν	uu-- u u --	lyric	
στρατὸς ἀλκίφρων τε λαός.	uu -u- u --	lyric	
θεόθεν γὰρ κατὰ Μοῖρʼ ἐκράτησεν	uu- - uu - uu--	anapaestic	
τὸ παλαιόν, ἐπέσκηψε δὲ Πέρσαις	u u-u u--u u --	anapaestic	
πολέμους πυργοδαΐκτους	uu- -uu--	lyric	
διέπειν ἱππιοχάρμας τε κλόνους	uu- -uu-- u u-	anapaestic	
πόλεών τʼ ἀναστάσεις.	uu- u-u-	lyric	
ἔμαθον δʼ εὐρυπόροιο θαλάσσας	uu- -uu-u u--	anapaestic	
πολιαινομένας πνεύματι λάβρῳ	uu-uu- -uu --	anapaestic	
ἐσορᾶν πόντιον ἄλσος,	uu- -uu --	lyric	
πίσυνοι λεπτοδόμοις πείσμασι λα-	uu- -uu- -uu -	anapaestic	
οπόροις τε μαχαναῖς.	uu- u -u-	lyric	
δολόμητιν δʼ ἀπάταν θεοῦ	uu-- uu- -	lyric	
τίς ἀνὴρ θνατὸς ἀλύξει;	u u- -u u--	lyric	
τίς ὁ κραιπνῷ ποδὶ πήδη-	u u -- uu --	lyric	
μα τόδʼ εὐπετῶς ἀνᾴσσων;	u u -u- u--	lyric	
φιλόφρων γὰρ παρασαίνει	uu- - uu--	lyric	
βροτὸν εἰς ἄρκυας Ἄτα,	uu - -uu --	lyric	
τόθεν οὐκ ἔστιν ὕπερθέν	uu - -u u--	lyric	
νιν ἄνατον ἐξαλύξαι.	u u-u -u--	lyric	
ταῦτά μοι μελαγχίτων	-u - u-u-	lyric	
φρὴν ἀμύσσεται φόβῳ,	- u-u- u-	lyric	
ὀᾶ,	u-	lyric	
Περσικοῦ στρατεύματος	-u- u-u-	lyric	
τοῦδε, μὴ πόλις πύθη-	-u - u- u-	lyric	
ται κένανδρον μέγʼ ἄστυ Σουσίδος,	- u-- u -u -u-	lyric	
καὶ τὸ Κισσίων πόλισμʼ	- u -u- u-	lyric	
ἀντίδουπον ᾄσεται,	-u-u -u-	lyric	
ὀᾶ,	u-	lyric	
τοῦτʼ ἔπος γυναικοπλη-	- u- u-u-	lyric	
θὴς ὅμιλος ἀπύων,	- u-u -u-	lyric	
βυσσίνοις δʼ ἐν πέπλοις πέσῃ λακίς.	-u- - u- u- u-	lyric	
πᾶς γὰρ ἱππηλάτας	- u --u-	lyric	
καὶ πεδοστιβὴς λεὼς	- u-u- u-	lyric	
σμῆνος ὣς ἐκλέλοιπεν μελισ-	-u - -u-- u-	lyric	
σᾶν σὺν ὀρχάμῳ στρατοῦ,	- u -u- u-	lyric	
τὸν ἀμφίζευκτον ἐξαμείψας	u ---u -u--	lyric	
ἀμφοτέρας ἅλιον	-uu- uu-	lyric	
