ἐμοὶ δ᾽ἄπορα γαστρίμαργον μακάρων τινʼ εἰπεῖν. ἀφίσταμαι.	u- uuu -u-- uu- u -- u-u-	lyric	
ἀκέρδεια λέλογχεν θαμινὰ κακαγόρους.	u--u u-- uuu u-u-	lyric	
εἰ δὲ δή τινʼ ἄνδρα θνατὸν Ὀλύμπου σκοποὶ	- u - u -u -u u-- u-	lyric	
ἐτίμασαν, ἦν Τάνταλος οὗτος· ἀλλὰ γὰρ καταπέψαι	u--u - -uu -u -u - uu--	lyric	
μέγαν ὄλβον οὐκ ἐδυνάσθη, κόρῳ δ᾽ἕλεν	uu -u - uu-- u- u-	lyric	
ἄταν ὑπέροπλον, ἅν οἱ πατὴρ ὑπερ	-- uu-u - - u- u-	lyric	
κρέμασε καρτερὸν αὐτῷ λίθον,	uuu -uu -- u-	lyric	
τὸν αἰεὶ μενοινῶν κεφαλᾶς βαλεῖν εὐφροσύνας ἀλᾶται.	u -- u-- uu- u- -uu- u--	lyric	
ἔχει δ᾽ἀπάλαμον βίον τοῦτον ἐμπεδόμοχθον,	u- -uu- u- -u -uu--	lyric	
μετὰ τριῶν τέταρτον πόνον, ἀθανάτων ὅτι κλέψαις	uu u- u-- uu -uu- uu --	lyric	
ἁλίκεσσι συμπόταις	-u-u -u-	lyric	
νέκταρ ἀμβροσίαν τε	-u -uu- -	lyric	
δῶκεν, οἷσιν ἄφθιτον	-u -u -u-	lyric	
θέν νιν. εἰ δὲ θεὸν ἀνήρ τις ἔλπεταί τι λαθέμεν ἔρδων, ἁμαρτάνει.	- u - u uu u- u -u- u -uu -- u-u-	lyric	
τοὔνεκα προῆκαν υἱὸν ἀθάνατοί οἱ πάλιν	-u- u-u -u -uu- - u-	lyric	
μετὰ τὸ ταχύποτμον αὖτις ἀνέρων ἔθνος.	uu u uuuu -u -u- u-	lyric	
πρὸς εὐάνθεμον δ᾽ὅτε φυὰν	u --u- uu u-	lyric	
λάχναι νιν μέλαν γένειον ἔρεφον,	u- - u- u-u uu-	lyric	
